Company_Name,Designation,'Location= Maharashtra','Location= Delhi','Location= Telangana','Location= Karnataka','Location= Haryana','Location= Tamil Nadu','Location= Uttar Pradesh','Location= West Bengal','Location= Kerala','Location= Madhya Pradesh','Location= Odisha','Location= Andhra Pradesh','Location= Rajasthan','Location= India','Location= Gujarat','Location= Punjab',LinkedIn_Followers,'Level=Contract ','Involvement= Entry level','Involvement= Mid-Senior level','Involvement= Director','Involvement= Associate',Employee_count,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,'POWER BI',SELENIUM,HTML,ML
Wipro,'Project Manager',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,'Project Manager',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,'Project Manager',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Administrator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Project Manager',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Administrator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Administrator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Test Engineer',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Administrator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Administrator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Service Level Manager',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Administrator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Project Manager',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,'System Engineer',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Test Engineer',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'System Engineer',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,'Project Manager',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,'Lead Administrator',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561172,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
